date,equity,returns
2020-12-10 00:00:00+00:00,999927.6567215858,-6.093747600699473e-05
2020-12-11 00:00:00+00:00,999979.964324108,5.231138689931747e-05
2020-12-14 00:00:00+00:00,999591.1763874557,-0.0003887957264374631
2020-12-15 00:00:00+00:00,999653.3396648307,6.218870158458678e-05
2020-12-16 00:00:00+00:00,999586.9597859331,-6.640289814852096e-05
2020-12-17 00:00:00+00:00,999586.9597859331,0.0
2020-12-18 00:00:00+00:00,999586.9597859331,0.0
2020-12-21 00:00:00+00:00,999586.9597859331,0.0
2020-12-22 00:00:00+00:00,999586.9597859331,0.0
2020-12-23 00:00:00+00:00,999586.9597859331,0.0
2020-12-24 00:00:00+00:00,999586.9597859331,0.0
2020-12-28 00:00:00+00:00,999586.9597859331,0.0
2020-12-29 00:00:00+00:00,999586.9597859331,0.0
2020-12-30 00:00:00+00:00,999586.9597859331,0.0
2020-12-31 00:00:00+00:00,999586.9597859331,0.0
2021-01-04 00:00:00+00:00,999586.9597859331,0.0
2021-01-05 00:00:00+00:00,999586.9597859331,0.0
2021-01-06 00:00:00+00:00,999586.9597859331,0.0
2021-01-07 00:00:00+00:00,999586.9597859331,0.0
2021-01-08 00:00:00+00:00,999561.9701119385,-2.4999999999941735e-05
2021-01-11 00:00:00+00:00,999486.7508106603,-7.52522640190545e-05
2021-01-12 00:00:00+00:00,999460.9199221245,-2.5844153026421957e-05
2021-01-13 00:00:00+00:00,999527.9140886993,6.703030127486187e-05
2021-01-14 00:00:00+00:00,999509.9309222018,-1.7991660106742025e-05
2021-01-15 00:00:00+00:00,999397.9918300366,-0.00011199397695016433
2021-01-19 00:00:00+00:00,999489.2327091619,9.129583996680957e-05
2021-01-20 00:00:00+00:00,999568.1687047249,7.897633409115201e-05
2021-01-21 00:00:00+00:00,999555.7209239762,-1.2453158412251142e-05
2021-01-22 00:00:00+00:00,999521.4830315906,-3.425311032578815e-05
2021-01-25 00:00:00+00:00,999565.1152174777,4.3653074623950516e-05
2021-01-26 00:00:00+00:00,999525.9791650742,-3.915307948199054e-05
2021-01-27 00:00:00+00:00,999357.7502046643,-0.00016830874226037018
2021-01-28 00:00:00+00:00,999448.2506165507,9.055857311146553e-05
2021-01-29 00:00:00+00:00,999629.7402991191,0.00018158987466976306
2021-02-01 00:00:00+00:00,999513.0876509569,-0.00011669585593487852
2021-02-02 00:00:00+00:00,999604.2746337077,9.123140444833311e-05
2021-02-03 00:00:00+00:00,999604.2746337077,0.0
2021-02-04 00:00:00+00:00,999604.2746337077,0.0
2021-02-05 00:00:00+00:00,999604.2746337077,0.0
2021-02-08 00:00:00+00:00,999604.2746337077,0.0
2021-02-09 00:00:00+00:00,999604.2746337077,0.0
2021-02-10 00:00:00+00:00,999604.2746337077,0.0
2021-02-11 00:00:00+00:00,999604.2746337077,0.0
2021-02-12 00:00:00+00:00,999604.2746337077,0.0
2021-02-16 00:00:00+00:00,999604.2746337077,0.0
2021-02-17 00:00:00+00:00,999604.2746337077,0.0
2021-02-18 00:00:00+00:00,999604.2746337077,0.0
2021-02-19 00:00:00+00:00,999604.2746337077,0.0
2021-02-22 00:00:00+00:00,999604.2746337077,0.0
2021-02-23 00:00:00+00:00,999604.2746337077,0.0
2021-02-24 00:00:00+00:00,999604.2746337077,0.0
2021-02-25 00:00:00+00:00,999604.2746337077,0.0
2021-02-26 00:00:00+00:00,999604.2746337077,0.0
2021-03-01 00:00:00+00:00,999604.2746337077,0.0
2021-03-02 00:00:00+00:00,999604.2746337077,0.0
2021-03-03 00:00:00+00:00,999604.2746337077,0.0
2021-03-04 00:00:00+00:00,999604.2746337077,0.0
2021-03-05 00:00:00+00:00,999604.2746337077,0.0
2021-03-08 00:00:00+00:00,999604.2746337077,0.0
2021-03-09 00:00:00+00:00,999604.2746337077,0.0
2021-03-10 00:00:00+00:00,999604.2746337077,0.0
2021-03-11 00:00:00+00:00,999604.2746337077,0.0
2021-03-12 00:00:00+00:00,999604.2746337077,0.0
2021-03-15 00:00:00+00:00,999604.2746337077,0.0
2021-03-16 00:00:00+00:00,999604.2746337077,0.0
2021-03-17 00:00:00+00:00,999604.2746337077,0.0
2021-03-18 00:00:00+00:00,999604.2746337077,0.0
2021-03-19 00:00:00+00:00,999604.2746337077,0.0
2021-03-22 00:00:00+00:00,999604.2746337077,0.0
2021-03-23 00:00:00+00:00,999604.2746337077,0.0
2021-03-24 00:00:00+00:00,999604.2746337077,0.0
2021-03-25 00:00:00+00:00,999604.2746337077,0.0
2021-03-26 00:00:00+00:00,999604.2746337077,0.0
2021-03-29 00:00:00+00:00,999604.2746337077,0.0
2021-03-30 00:00:00+00:00,999604.2746337077,0.0
2021-03-31 00:00:00+00:00,999604.2746337077,0.0
2021-04-01 00:00:00+00:00,999604.2746337077,0.0
2021-04-05 00:00:00+00:00,999604.2746337077,0.0
2021-04-06 00:00:00+00:00,999604.2746337077,0.0
2021-04-07 00:00:00+00:00,999604.2746337077,0.0
2021-04-08 00:00:00+00:00,999604.2746337077,0.0
2021-04-09 00:00:00+00:00,999604.2746337077,0.0
2021-04-12 00:00:00+00:00,999604.2746337077,0.0
2021-04-13 00:00:00+00:00,999604.2746337077,0.0
2021-04-14 00:00:00+00:00,999604.2746337077,0.0
2021-04-15 00:00:00+00:00,999604.2746337077,0.0
2021-04-16 00:00:00+00:00,999604.2746337077,0.0
2021-04-19 00:00:00+00:00,999604.2746337077,0.0
2021-04-20 00:00:00+00:00,999604.2746337077,0.0
2021-04-21 00:00:00+00:00,999604.2746337077,0.0
2021-04-22 00:00:00+00:00,999604.2746337077,0.0
2021-04-23 00:00:00+00:00,999604.2746337077,0.0
2021-04-26 00:00:00+00:00,999604.2746337077,0.0
2021-04-27 00:00:00+00:00,999604.2746337077,0.0
2021-04-28 00:00:00+00:00,999604.2746337077,0.0
2021-04-29 00:00:00+00:00,999604.2746337077,0.0
2021-04-30 00:00:00+00:00,999604.2746337077,0.0
2021-05-03 00:00:00+00:00,999604.2746337077,0.0
2021-05-04 00:00:00+00:00,999604.2746337077,0.0
2021-05-05 00:00:00+00:00,999604.2746337077,0.0
2021-05-06 00:00:00+00:00,999604.2746337077,0.0
2021-05-07 00:00:00+00:00,999604.2746337077,0.0
2021-05-10 00:00:00+00:00,999604.2746337077,0.0
2021-05-11 00:00:00+00:00,999604.2746337077,0.0
2021-05-12 00:00:00+00:00,999604.2746337077,0.0
2021-05-13 00:00:00+00:00,999594.122497939,-1.0156154816809426e-05
2021-05-14 00:00:00+00:00,999669.8927755544,7.580104355353612e-05
2021-05-17 00:00:00+00:00,999600.0058070968,-6.9910046268995e-05
2021-05-18 00:00:00+00:00,999718.6851094268,0.00011872679235747086
2021-05-19 00:00:00+00:00,999675.789963057,-4.2907216808774074e-05
2021-05-20 00:00:00+00:00,999646.940211271,-2.8859108198497907e-05
2021-05-21 00:00:00+00:00,999623.6474626767,-2.330097523173258e-05
2021-05-24 00:00:00+00:00,999677.8106260907,5.418355553254983e-05
2021-05-25 00:00:00+00:00,999657.0750299827,-2.0742279049912327e-05
2021-05-26 00:00:00+00:00,999663.2643821235,6.191475352190778e-06
2021-05-27 00:00:00+00:00,999679.876401239,1.661761485838298e-05
2021-05-28 00:00:00+00:00,999691.3196211465,1.1446884325305717e-05
2021-06-01 00:00:00+00:00,999658.2547492465,-3.307508152872174e-05
2021-06-02 00:00:00+00:00,999644.3096204587,-1.3949896098486292e-05
2021-06-03 00:00:00+00:00,999678.2322220317,3.39346718092326e-05
2021-06-04 00:00:00+00:00,999625.2501866983,-5.299908873246384e-05
2021-06-07 00:00:00+00:00,999700.4986025767,7.527662577988536e-05
2021-06-08 00:00:00+00:00,999652.4251849536,-4.808781999232625e-05
2021-06-09 00:00:00+00:00,999679.6874099551,2.7271703958886562e-05
2021-06-10 00:00:00+00:00,999515.3530290645,-0.00016438703612786654
2021-06-11 00:00:00+00:00,999488.5806778696,-2.6785332625234304e-05
2021-06-14 00:00:00+00:00,999488.5806778696,0.0
2021-06-15 00:00:00+00:00,999488.5806778696,0.0
2021-06-16 00:00:00+00:00,999480.5847692243,-7.999999999896978e-06
2021-06-17 00:00:00+00:00,999463.7204488562,-1.6873084505153457e-05
2021-06-18 00:00:00+00:00,999350.5925451628,-0.00011318860442743883
2021-06-21 00:00:00+00:00,999360.0504778993,9.464078779775065e-06
2021-06-22 00:00:00+00:00,999365.0465954862,4.999316897347228e-06
