date,quarter,signal,position,position_size,z_score,lambda,spread,jump,regime
2022-05-26 00:00:00+00:00,8,0.0,0.0,0.0,-0.3899674974509975,0.6392705266081536,0.017827505524086185,1,crisis
2022-05-27 00:00:00+00:00,8,0.0,0.0,0.0,-0.3570241047304159,0.6675537410227783,0.01946220245121033,1,crisis
2022-05-31 00:00:00+00:00,8,0.0,0.0,0.0,-0.5345140275416574,0.43366149313565144,0.013406490666875825,1,elevated
2022-06-01 00:00:00+00:00,8,0.0,0.0,0.0,-0.11464288147113703,0.5060950746951821,0.029725494542161,1,elevated
2022-06-02 00:00:00+00:00,8,0.0,0.0,0.0,-0.11928346423541795,0.562975014639538,0.030124204488194195,1,crisis
2022-06-03 00:00:00+00:00,8,0.0,0.0,0.0,0.18032312551643237,0.6076411418476,0.040857809948048995,1,crisis
2022-06-06 00:00:00+00:00,8,0.0,0.0,0.0,-0.23857280615867688,0.4703992373647414,0.026788044597195082,1,elevated
2022-06-07 00:00:00+00:00,8,0.0,0.0,0.0,-0.6749213048802585,0.5349441339360859,0.01179488977719334,1,elevated
2022-06-08 00:00:00+00:00,8,0.0,0.0,0.0,-0.44625664030571577,0.5856293238942191,0.019708809161045338,1,crisis
2022-06-09 00:00:00+00:00,8,0.0,0.0,0.0,-0.3225057383643387,0.6254308979544148,0.02410627479476002,1,crisis
2022-06-10 00:00:00+00:00,8,0.0,0.0,0.0,0.09110774957140294,0.6566858917499947,0.03858890648838198,1,crisis
2022-06-13 00:00:00+00:00,8,0.0,0.0,0.0,1.1777604915589777,0.49414849463112703,0.07686578538422939,1,elevated
2022-06-14 00:00:00+00:00,8,-1.0,-1.0,0.08000000000000002,2.1636456644160815,0.5535937201908379,0.11534399116392713,1,elevated
2022-06-15 00:00:00+00:00,8,0.0,-1.0,0.08000000000000002,3.3564244770035354,0.6002742899903046,0.17387277464004303,1,crisis
2022-06-16 00:00:00+00:00,8,0.0,-1.0,0.08000000000000002,3.221466693790825,0.6369311547979599,0.18284870946765253,1,crisis
2022-06-17 00:00:00+00:00,8,0.0,-1.0,0.08000000000000002,3.6328722490592633,0.6657167018317508,0.22159876422618208,1,crisis
2022-06-21 00:00:00+00:00,8,0.0,-1.0,0.08000000000000002,2.331671079731579,0.4329629469933099,0.1597819855631597,1,elevated
2022-06-22 00:00:00+00:00,8,0.0,-1.0,0.08000000000000002,1.736196669242437,0.34755659872970895,0.12913651798339032,0,elevated
