ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-01-21T00:00:00.000000000Z,35,2,10866,138.500000000,138.840000000,135.270000000,137.290000000,1335088,MS
2025-01-22T00:00:00.000000000Z,35,2,10866,137.300000000,138.370000000,135.820000000,135.980000000,916353,MS
2025-01-23T00:00:00.000000000Z,35,2,10866,136.050000000,138.200000000,135.955000000,137.960000000,919042,MS
2025-01-24T00:00:00.000000000Z,35,2,10866,137.800000000,139.030000000,136.410000000,137.910000000,760787,MS
2025-01-27T00:00:00.000000000Z,35,2,10866,136.300000000,138.380000000,134.120000000,136.940000000,869133,MS
2025-01-28T00:00:00.000000000Z,35,2,10866,136.000000000,138.850000000,135.640000000,138.430000000,679487,MS
2025-01-29T00:00:00.000000000Z,35,2,10866,138.950000000,141.480000000,137.910000000,139.070000000,862325,MS
2025-01-30T00:00:00.000000000Z,35,2,10866,139.700000000,140.490000000,138.890000000,140.100000000,678043,MS
2025-01-31T00:00:00.000000000Z,35,2,10866,139.420000000,139.840000000,137.770000000,138.380000000,670699,MS
2025-02-03T00:00:00.000000000Z,35,2,10866,136.380000000,138.900000000,133.910000000,137.580000000,900806,MS
2025-02-04T00:00:00.000000000Z,35,2,10866,137.070000000,137.870000000,136.275000000,136.750000000,538226,MS
2025-02-05T00:00:00.000000000Z,35,2,10866,137.530000000,139.360000000,136.510000000,139.360000000,487248,MS
2025-02-06T00:00:00.000000000Z,35,2,10866,139.750000000,141.390000000,139.510000000,140.700000000,609603,MS
2025-02-07T00:00:00.000000000Z,35,2,10866,140.410000000,142.380000000,139.800000000,140.030000000,500340,MS
2025-02-10T00:00:00.000000000Z,35,2,10866,140.860000000,141.100000000,135.630000000,137.000000000,720992,MS
2025-02-11T00:00:00.000000000Z,35,2,10866,136.800000000,138.220000000,135.430000000,137.790000000,642310,MS
2025-02-12T00:00:00.000000000Z,35,2,10866,137.700000000,137.720000000,135.500000000,137.200000000,490842,MS
2025-02-13T00:00:00.000000000Z,35,2,10866,136.430000000,139.000000000,136.355000000,137.000000000,476514,MS
2025-02-14T00:00:00.000000000Z,35,2,10866,136.850000000,139.580000000,136.430000000,139.150000000,779220,MS
2025-02-18T00:00:00.000000000Z,35,2,10866,139.250000000,140.775000000,138.890000000,140.730000000,427023,MS
2025-02-19T00:00:00.000000000Z,35,2,10866,140.200000000,140.930000000,139.260000000,140.680000000,534693,MS
2025-02-20T00:00:00.000000000Z,35,2,10866,140.680000000,141.070000000,132.430000000,134.300000000,1235593,MS
2025-02-21T00:00:00.000000000Z,35,2,10866,134.490000000,135.520000000,130.940000000,131.700000000,720023,MS
2025-02-24T00:00:00.000000000Z,35,2,10866,132.430000000,133.650000000,129.000000000,130.350000000,1013485,MS
2025-02-25T00:00:00.000000000Z,35,2,10866,129.380000000,131.340000000,126.380000000,130.000000000,1158477,MS
2025-02-26T00:00:00.000000000Z,35,2,10866,129.900000000,132.240000000,129.820000000,131.300000000,583628,MS
2025-02-27T00:00:00.000000000Z,35,2,10866,132.450000000,132.865000000,128.810000000,129.260000000,844033,MS
2025-02-28T00:00:00.000000000Z,35,2,10866,129.030000000,133.400000000,129.000000000,132.990000000,677894,MS
2025-03-03T00:00:00.000000000Z,35,2,10866,132.650000000,134.480000000,127.740000000,129.510000000,998599,MS
2025-03-04T00:00:00.000000000Z,35,2,10866,129.310000000,129.660000000,119.250000000,123.600000000,2161155,MS
2025-03-05T00:00:00.000000000Z,35,2,10866,121.750000000,124.390000000,121.435000000,123.500000000,1167760,MS
2025-03-06T00:00:00.000000000Z,35,2,10866,122.080000000,123.125000000,118.620000000,119.850000000,1204923,MS
2025-03-07T00:00:00.000000000Z,35,2,10866,120.140000000,120.730000000,115.450000000,119.130000000,1233553,MS
2025-03-10T00:00:00.000000000Z,35,2,10866,118.060000000,118.060000000,109.220000000,111.660000000,2948849,MS
2025-03-11T00:00:00.000000000Z,35,2,10866,112.000000000,113.500000000,110.340000000,112.220000000,1772848,MS
2025-03-12T00:00:00.000000000Z,35,2,10866,112.940000000,115.600000000,112.570000000,114.400000000,1100727,MS
2025-03-13T00:00:00.000000000Z,35,2,10866,113.430000000,114.800000000,111.250000000,112.000000000,1052517,MS
2025-03-14T00:00:00.000000000Z,35,2,10866,112.470000000,115.770000000,112.470000000,115.100000000,962372,MS
2025-03-17T00:00:00.000000000Z,35,2,10866,114.570000000,119.300000000,114.270000000,117.960000000,1332033,MS
2025-03-18T00:00:00.000000000Z,35,2,10866,118.100000000,119.150000000,117.290000000,118.160000000,942168,MS
2025-03-19T00:00:00.000000000Z,35,2,10866,118.790000000,121.250000000,116.220000000,120.060000000,925153,MS
2025-03-20T00:00:00.000000000Z,35,2,10866,120.000000000,121.820000000,118.800000000,120.470000000,745477,MS
2025-03-21T00:00:00.000000000Z,35,2,10866,119.900000000,120.900000000,118.340000000,120.900000000,760564,MS
2025-03-24T00:00:00.000000000Z,35,2,10866,121.460000000,124.830000000,121.350000000,124.270000000,754937,MS
2025-03-25T00:00:00.000000000Z,35,2,10866,123.660000000,126.005000000,123.660000000,125.310000000,605867,MS
2025-03-26T00:00:00.000000000Z,35,2,10866,124.580000000,126.310000000,120.610000000,120.610000000,731514,MS
2025-03-27T00:00:00.000000000Z,35,2,10866,121.610000000,122.500000000,117.560000000,118.810000000,987813,MS
2025-03-28T00:00:00.000000000Z,35,2,10866,118.950000000,119.510000000,114.630000000,115.220000000,1308748,MS
2025-03-31T00:00:00.000000000Z,35,2,10866,114.010000000,117.035000000,112.190000000,115.940000000,798412,MS
2025-04-01T00:00:00.000000000Z,35,2,10866,116.670000000,116.860000000,113.545000000,115.740000000,797706,MS
2025-04-02T00:00:00.000000000Z,35,2,10866,115.250000000,121.490000000,113.760000000,114.500000000,975078,MS
2025-04-03T00:00:00.000000000Z,35,2,10866,114.590000000,115.070000000,106.880000000,107.900000000,2766661,MS
2025-04-04T00:00:00.000000000Z,35,2,10866,106.590000000,106.590000000,97.335000000,99.510000000,3474359,MS
2025-04-07T00:00:00.000000000Z,35,2,10866,92.790000000,104.250000000,92.400000000,102.000000000,3683991,MS
2025-04-08T00:00:00.000000000Z,35,2,10866,102.800000000,106.890000000,98.260000000,98.750000000,1065494,MS
2025-04-09T00:00:00.000000000Z,35,2,10866,99.570000000,113.870000000,95.860000000,112.010000000,2744165,MS
2025-04-10T00:00:00.000000000Z,35,2,10866,109.160000000,110.400000000,103.410000000,106.510000000,1569015,MS
2025-04-11T00:00:00.000000000Z,35,2,10866,107.000000000,110.240000000,102.220000000,108.500000000,1261193,MS
2025-04-14T00:00:00.000000000Z,35,2,10866,109.900000000,111.500000000,108.520000000,108.750000000,1258237,MS
2025-04-15T00:00:00.000000000Z,35,2,10866,110.020000000,112.130000000,109.110000000,110.080000000,968826,MS
2025-04-16T00:00:00.000000000Z,35,2,10866,109.590000000,110.500000000,106.660000000,107.010000000,1021538,MS
2025-04-17T00:00:00.000000000Z,35,2,10866,108.770000000,110.735000000,108.010000000,109.830000000,741725,MS
2025-04-21T00:00:00.000000000Z,35,2,10866,108.190000000,108.640000000,104.790000000,106.300000000,955786,MS
2025-04-22T00:00:00.000000000Z,35,2,10866,107.210000000,112.910000000,107.000000000,112.910000000,717199,MS
2025-04-23T00:00:00.000000000Z,35,2,10866,112.970000000,116.610000000,111.910000000,112.040000000,1271120,MS
2025-04-24T00:00:00.000000000Z,35,2,10866,111.010000000,115.900000000,110.930000000,115.880000000,976035,MS
2025-04-25T00:00:00.000000000Z,35,2,10866,116.150000000,117.090000000,114.530000000,115.500000000,803298,MS
2025-04-28T00:00:00.000000000Z,35,2,10866,115.320000000,117.870000000,114.730000000,115.830000000,581498,MS
2025-04-29T00:00:00.000000000Z,35,2,10866,117.100000000,117.100000000,114.230000000,116.240000000,702088,MS
2025-04-30T00:00:00.000000000Z,35,2,10866,114.830000000,115.820000000,112.050000000,114.950000000,700143,MS
2025-05-01T00:00:00.000000000Z,35,2,10866,115.450000000,117.820000000,114.740000000,116.650000000,858144,MS
2025-05-02T00:00:00.000000000Z,35,2,10866,117.800000000,120.500000000,117.680000000,120.220000000,861867,MS
2025-05-05T00:00:00.000000000Z,35,2,10866,119.000000000,120.880000000,118.310000000,119.450000000,669831,MS
2025-05-06T00:00:00.000000000Z,35,2,10866,119.030000000,120.300000000,117.110000000,120.300000000,688699,MS
2025-05-07T00:00:00.000000000Z,35,2,10866,119.740000000,120.010000000,118.200000000,119.100000000,639003,MS
2025-05-08T00:00:00.000000000Z,35,2,10866,120.280000000,123.270000000,119.925000000,121.900000000,917258,MS
2025-05-09T00:00:00.000000000Z,35,2,10866,121.880000000,123.170000000,121.460000000,121.770000000,557535,MS
2025-05-12T00:00:00.000000000Z,35,2,10866,124.970000000,129.190000000,124.970000000,127.060000000,1434791,MS
2025-05-13T00:00:00.000000000Z,35,2,10866,126.260000000,130.110000000,126.260000000,129.500000000,772920,MS
2025-05-14T00:00:00.000000000Z,35,2,10866,129.730000000,131.570000000,128.600000000,131.040000000,1000371,MS
2025-05-15T00:00:00.000000000Z,35,2,10866,130.610000000,133.020000000,129.620000000,132.500000000,1114947,MS
2025-05-16T00:00:00.000000000Z,35,2,10866,132.740000000,133.040000000,130.540000000,130.540000000,871536,MS
2025-05-19T00:00:00.000000000Z,35,2,10866,130.250000000,132.170000000,129.080000000,130.500000000,1089215,MS
2025-05-20T00:00:00.000000000Z,35,2,10866,129.810000000,131.100000000,128.120000000,129.130000000,773795,MS
2025-05-21T00:00:00.000000000Z,35,2,10866,128.650000000,128.650000000,124.940000000,125.200000000,939762,MS
2025-05-22T00:00:00.000000000Z,35,2,10866,125.500000000,127.060000000,124.600000000,125.950000000,669535,MS
2025-05-23T00:00:00.000000000Z,35,2,10866,127.580000000,127.580000000,122.700000000,125.900000000,461711,MS
2025-05-27T00:00:00.000000000Z,35,2,10866,128.100000000,129.540000000,126.820000000,129.350000000,725033,MS
2025-05-28T00:00:00.000000000Z,35,2,10866,128.460000000,129.700000000,127.260000000,129.700000000,527357,MS
2025-05-29T00:00:00.000000000Z,35,2,10866,130.380000000,130.440000000,126.940000000,128.170000000,545956,MS
2025-05-30T00:00:00.000000000Z,35,2,10866,127.510000000,128.320000000,126.320000000,127.940000000,616842,MS
2025-06-02T00:00:00.000000000Z,35,2,10866,127.480000000,128.500000000,126.360000000,128.490000000,711920,MS
2025-06-03T00:00:00.000000000Z,35,2,10866,127.200000000,129.180000000,127.130000000,128.640000000,637794,MS
2025-06-04T00:00:00.000000000Z,35,2,10866,128.890000000,129.420000000,128.150000000,128.150000000,465266,MS
2025-06-05T00:00:00.000000000Z,35,2,10866,128.060000000,131.050000000,127.340000000,130.480000000,1038492,MS
2025-06-06T00:00:00.000000000Z,35,2,10866,131.090000000,133.560000000,130.820000000,131.900000000,768373,MS
2025-06-09T00:00:00.000000000Z,35,2,10866,131.520000000,132.895000000,131.130000000,132.000000000,852664,MS
2025-06-10T00:00:00.000000000Z,35,2,10866,132.050000000,132.440000000,131.180000000,131.750000000,685331,MS
2025-06-11T00:00:00.000000000Z,35,2,10866,132.000000000,133.450000000,131.170000000,131.500000000,1120626,MS
2025-06-12T00:00:00.000000000Z,35,2,10866,131.000000000,132.000000000,129.810000000,131.920000000,710441,MS
2025-06-13T00:00:00.000000000Z,35,2,10866,129.450000000,131.055000000,128.820000000,129.530000000,836974,MS
2025-06-16T00:00:00.000000000Z,35,2,10866,130.500000000,132.790000000,129.700000000,130.010000000,1040786,MS
2025-06-17T00:00:00.000000000Z,35,2,10866,130.010000000,131.180000000,129.660000000,130.080000000,735757,MS
2025-06-18T00:00:00.000000000Z,35,2,10866,129.960000000,132.950000000,129.890000000,132.880000000,887227,MS
2025-06-20T00:00:00.000000000Z,35,2,10866,132.040000000,133.650000000,131.925000000,133.000000000,801835,MS
2025-06-23T00:00:00.000000000Z,35,2,10866,132.920000000,134.910000000,130.900000000,134.910000000,581534,MS
2025-06-24T00:00:00.000000000Z,35,2,10866,134.990000000,136.680000000,134.800000000,135.950000000,790470,MS
2025-06-25T00:00:00.000000000Z,35,2,10866,136.600000000,137.890000000,135.475000000,137.670000000,877397,MS
2025-06-26T00:00:00.000000000Z,35,2,10866,137.880000000,140.195000000,137.630000000,140.020000000,737774,MS
2025-06-27T00:00:00.000000000Z,35,2,10866,140.630000000,141.900000000,139.100000000,140.790000000,821703,MS
2025-06-30T00:00:00.000000000Z,35,2,10866,141.180000000,142.150000000,139.560000000,141.110000000,1173947,MS
2025-07-01T00:00:00.000000000Z,35,2,10866,141.070000000,142.220000000,139.480000000,141.380000000,936180,MS
2025-07-02T00:00:00.000000000Z,35,2,10866,142.160000000,142.980000000,140.980000000,142.980000000,965412,MS
2025-07-03T00:00:00.000000000Z,35,2,10866,142.860000000,144.870000000,141.810000000,144.520000000,637499,MS
2025-07-07T00:00:00.000000000Z,35,2,10866,143.780000000,145.160000000,142.500000000,143.700000000,965211,MS
2025-07-08T00:00:00.000000000Z,35,2,10866,143.780000000,144.050000000,141.025000000,141.610000000,921003,MS
2025-07-09T00:00:00.000000000Z,35,2,10866,141.330000000,142.930000000,140.900000000,141.330000000,635631,MS
2025-07-10T00:00:00.000000000Z,35,2,10866,141.530000000,143.200000000,141.180000000,143.150000000,634709,MS
2025-07-11T00:00:00.000000000Z,35,2,10866,142.500000000,142.860000000,141.110000000,142.720000000,663918,MS
2025-07-14T00:00:00.000000000Z,35,2,10866,142.080000000,144.140000000,141.700000000,143.970000000,831409,MS
2025-07-15T00:00:00.000000000Z,35,2,10866,143.960000000,144.760000000,141.010000000,141.480000000,1429609,MS
2025-07-16T00:00:00.000000000Z,35,2,10866,141.000000000,142.700000000,135.240000000,139.500000000,2220536,MS
2025-07-17T00:00:00.000000000Z,35,2,10866,139.120000000,141.700000000,139.000000000,141.070000000,1649933,MS
2025-07-18T00:00:00.000000000Z,35,2,10866,140.910000000,141.740000000,140.200000000,141.090000000,918333,MS
2025-07-21T00:00:00.000000000Z,35,2,10866,140.990000000,142.510000000,140.180000000,140.810000000,953797,MS
2025-07-22T00:00:00.000000000Z,35,2,10866,140.480000000,140.890000000,138.930000000,140.060000000,760065,MS
2025-07-23T00:00:00.000000000Z,35,2,10866,140.540000000,142.620000000,139.920000000,142.000000000,1690384,MS
2025-07-24T00:00:00.000000000Z,35,2,10866,142.190000000,143.730000000,141.850000000,142.800000000,735253,MS
2025-07-25T00:00:00.000000000Z,35,2,10866,142.040000000,143.370000000,142.040000000,143.100000000,582611,MS
2025-07-28T00:00:00.000000000Z,35,2,10866,143.500000000,143.500000000,142.030000000,142.450000000,516896,MS
2025-07-29T00:00:00.000000000Z,35,2,10866,142.140000000,144.040000000,142.000000000,143.360000000,809310,MS
2025-07-30T00:00:00.000000000Z,35,2,10866,143.240000000,145.470000000,143.240000000,143.710000000,879299,MS
2025-07-31T00:00:00.000000000Z,35,2,10866,144.420000000,144.700000000,141.970000000,141.970000000,868133,MS
2025-08-01T00:00:00.000000000Z,35,2,10866,140.620000000,141.400000000,136.140000000,139.420000000,1424035,MS
2025-08-04T00:00:00.000000000Z,35,2,10866,139.440000000,141.800000000,139.440000000,141.700000000,635735,MS
2025-08-05T00:00:00.000000000Z,35,2,10866,141.440000000,142.710000000,139.410000000,140.250000000,949485,MS
2025-08-06T00:00:00.000000000Z,35,2,10866,140.960000000,141.860000000,140.540000000,140.820000000,621933,MS
2025-08-07T00:00:00.000000000Z,35,2,10866,141.600000000,142.820000000,140.600000000,140.975000000,682901,MS
2025-08-08T00:00:00.000000000Z,35,2,10866,141.750000000,143.920000000,141.300000000,143.500000000,667511,MS
2025-08-11T00:00:00.000000000Z,35,2,10866,143.500000000,144.190000000,142.650000000,143.880000000,719659,MS
2025-08-12T00:00:00.000000000Z,35,2,10866,143.850000000,148.240000000,143.850000000,147.400000000,1135098,MS
2025-08-13T00:00:00.000000000Z,35,2,10866,147.690000000,149.070000000,145.400000000,147.860000000,994858,MS
2025-08-14T00:00:00.000000000Z,35,2,10866,147.820000000,148.655000000,146.000000000,148.510000000,674043,MS
2025-08-15T00:00:00.000000000Z,35,2,10866,148.700000000,148.810000000,144.465000000,144.750000000,884095,MS
2025-08-18T00:00:00.000000000Z,35,2,10866,144.630000000,145.060000000,143.940000000,144.950000000,610443,MS
2025-08-19T00:00:00.000000000Z,35,2,10866,144.525000000,144.970000000,143.430000000,144.950000000,620115,MS
2025-08-20T00:00:00.000000000Z,35,2,10866,143.130000000,144.710000000,141.030000000,144.120000000,738635,MS
2025-08-21T00:00:00.000000000Z,35,2,10866,144.410000000,145.220000000,142.920000000,144.050000000,513419,MS
2025-08-22T00:00:00.000000000Z,35,2,10866,143.400000000,148.900000000,143.400000000,148.030000000,943516,MS
2025-08-25T00:00:00.000000000Z,35,2,10866,147.280000000,148.590000000,147.280000000,147.660000000,413394,MS
2025-08-26T00:00:00.000000000Z,35,2,10866,148.380000000,149.270000000,146.320000000,149.150000000,686234,MS
2025-08-27T00:00:00.000000000Z,35,2,10866,148.710000000,150.120000000,148.030000000,149.550000000,575614,MS
2025-08-28T00:00:00.000000000Z,35,2,10866,150.400000000,150.410000000,149.175000000,150.060000000,453705,MS
2025-08-29T00:00:00.000000000Z,35,2,10866,149.990000000,150.960000000,149.000000000,150.400000000,547123,MS
2025-09-02T00:00:00.000000000Z,35,2,10866,149.740000000,150.150000000,145.680000000,148.100000000,1082007,MS
2025-09-03T00:00:00.000000000Z,35,2,10866,148.450000000,149.550000000,146.925000000,148.570000000,735299,MS
2025-09-04T00:00:00.000000000Z,35,2,10866,148.610000000,150.980000000,148.610000000,150.980000000,838744,MS
2025-09-05T00:00:00.000000000Z,35,2,10866,150.590000000,151.850000000,146.270000000,148.200000000,1120069,MS
2025-09-08T00:00:00.000000000Z,35,2,10866,148.120000000,149.200000000,147.250000000,148.790000000,676607,MS
2025-09-09T00:00:00.000000000Z,35,2,10866,148.480000000,152.830000000,148.350000000,152.110000000,1340277,MS
2025-09-10T00:00:00.000000000Z,35,2,10866,152.100000000,154.540000000,151.420000000,154.000000000,943256,MS
2025-09-11T00:00:00.000000000Z,35,2,10866,153.740000000,157.765000000,153.300000000,156.480000000,1181916,MS
2025-09-12T00:00:00.000000000Z,35,2,10866,156.490000000,156.860000000,155.540000000,156.500000000,746096,MS
2025-09-15T00:00:00.000000000Z,35,2,10866,156.320000000,158.460000000,155.880000000,156.750000000,897488,MS
2025-09-16T00:00:00.000000000Z,35,2,10866,156.930000000,157.500000000,155.220000000,155.850000000,1139169,MS
2025-09-17T00:00:00.000000000Z,35,2,10866,155.200000000,157.970000000,155.200000000,157.410000000,928418,MS
2025-09-18T00:00:00.000000000Z,35,2,10866,158.050000000,160.130000000,157.500000000,159.600000000,743692,MS
2025-09-19T00:00:00.000000000Z,35,2,10866,159.510000000,161.090000000,158.130000000,159.360000000,1307887,MS
2025-09-22T00:00:00.000000000Z,35,2,10866,159.920000000,161.030000000,157.930000000,160.720000000,778637,MS
2025-09-23T00:00:00.000000000Z,35,2,10866,160.840000000,163.990000000,159.620000000,161.000000000,857419,MS
2025-09-24T00:00:00.000000000Z,35,2,10866,161.180000000,161.560000000,157.840000000,158.160000000,707269,MS
