entry_date,exit_date,direction,entry_price_a,entry_price_b,exit_price_a,exit_price_b,position_size,pnl,return_pct,duration_days,exit_reason,mae_pct,mfe_pct
2019-09-20 00:00:00+00:00,2019-10-07 00:00:00+00:00,SHORT,172.26,30.0,184.15,28.97,0.25,-12845.82857184264,-5.167845117845124,17,stop_loss,-5.167845117845124,0.1142459073493518
2019-10-28 00:00:00+00:00,2019-11-14 00:00:00+00:00,LONG,206.35,33.82,207.0,38.36,0.25,-16063.505324145597,-6.554505336695343,17,stop_loss,-6.554505336695343,0.7500891634427206
2020-02-12 00:00:00+00:00,2020-03-04 00:00:00+00:00,LONG,272.0,53.51,282.5,49.9,0.0,12649.094824102833,5.303348329614035,21,signal,0.0,6.750996240394875
2020-04-02 00:00:00+00:00,2020-04-14 00:00:00+00:00,LONG,254.1,44.31,282.81,55.25,0.25,-16355.591183545692,-6.695492501179699,12,stop_loss,-6.695492501179699,0.0
2020-05-06 00:00:00+00:00,2020-05-15 00:00:00+00:00,SHORT,297.0,52.16,339.33,53.95,0.25,-13002.654571361261,-5.4103883931337835,9,stop_loss,-5.4103883931337835,0.0
2020-06-10 00:00:00+00:00,2020-06-19 00:00:00+00:00,LONG,372.47,56.61,368.23,53.99,0.0,4042.651299334336,1.7449054284235606,9,signal,0.0,1.8199865503003971
2020-06-26 00:00:00+00:00,2020-07-16 00:00:00+00:00,SHORT,365.8,49.81,403.8,54.76,0.0,-611.0750345684731,-0.2252133833005049,20,signal,-2.606366741457891,1.074289242807743
2020-09-04 00:00:00+00:00,2020-09-17 00:00:00+00:00,LONG,499.5,81.65,498.56,76.65,0.0,6948.259534967106,2.967755262917541,13,signal,-0.3551432632877835,4.0457849153501435
2020-10-15 00:00:00+00:00,2020-11-05 00:00:00+00:00,LONG,559.6,83.25,565.0,82.6,0.0,2007.3243551462351,0.8728778814554382,21,signal,-2.5663386760599094,0.8728778814554382
2020-11-30 00:00:00+00:00,2021-01-13 00:00:00+00:00,SHORT,537.2,92.85,541.6,92.01,0.0,-2128.3631451557612,-0.8618733888516574,44,signal,-0.8618733888516574,2.86284544082864
2021-03-04 00:00:00+00:00,2021-04-12 00:00:00+00:00,LONG,490.5,76.98,606.0,79.1,0.25,24673.045258751263,10.39671927177559,39,profit_target,-0.9759427564886325,10.39671927177559
2021-04-19 00:00:00+00:00,2021-05-10 00:00:00+00:00,LONG,614.65,81.13,567.1,75.65,0.0,-1266.6116169243555,-0.49075929238303645,21,signal,-4.341678047958976,0.5786922776066284
2021-05-12 00:00:00+00:00,2021-05-24 00:00:00+00:00,SHORT,551.6,74.77,629.0,77.51,0.25,-12723.053017232867,-5.183667913484351,12,stop_loss,-5.183667913484351,0.05701373503835806
2021-06-11 00:00:00+00:00,2021-07-06 00:00:00+00:00,LONG,713.2,81.35,828.69,94.07,0.0,586.7590174836047,0.27853677479135247,25,signal,-1.8354828657322013,2.477083729038262
2021-07-23 00:00:00+00:00,2021-07-29 00:00:00+00:00,SHORT,194.46,92.06,193.75,101.36,0.0,12528.757365805983,5.233610484681601,6,signal,0.0,5.233610484681601
2021-07-30 00:00:00+00:00,2021-08-23 00:00:00+00:00,SHORT,194.3,106.4,219.15,109.36,0.25,-12285.697562040423,-5.003772942392008,24,stop_loss,-5.003772942392008,3.0243519245875854
2021-12-17 00:00:00+00:00,2022-01-11 00:00:00+00:00,SHORT,279.54,138.12,277.85,137.46,0.0,80.74193391728461,0.0633596450218864,25,signal,-1.3303746125802949,1.1983282141500131
2022-02-25 00:00:00+00:00,2022-03-17 00:00:00+00:00,SHORT,240.66,120.76,245.07,110.5,0.25,-12508.884064814805,-5.1643257623185805,20,stop_loss,-5.1643257623185805,0.39054574084896404
2022-03-25 00:00:00+00:00,2022-05-05 00:00:00+00:00,LONG,276.8,119.55,189.01,94.22,0.25,-12566.296398743005,-5.264126462916092,41,stop_loss,-5.264126462916092,3.4665906047001855
2022-05-10 00:00:00+00:00,2022-05-17 00:00:00+00:00,LONG,175.7,88.29,182.9,102.87,0.25,-14638.94327601965,-6.20793366507756,7,stop_loss,-6.20793366507756,0.0
2022-05-24 00:00:00+00:00,2022-06-21 00:00:00+00:00,SHORT,163.19,91.75,164.77,83.4,0.25,-11690.247781304042,-5.034507009682467,28,stop_loss,-5.034507009682467,0.9920961056911454
2022-09-01 00:00:00+00:00,2022-09-30 00:00:00+00:00,LONG,138.8,82.84,121.15,63.47,0.0,12100.469458552949,5.333142810626227,29,signal,0.0,5.333142810626227
2022-10-13 00:00:00+00:00,2022-10-27 00:00:00+00:00,SHORT,119.78,58.94,130.55,58.23,0.25,-11845.96513891907,-5.098049625308433,14,stop_loss,-5.098049625308433,0.8039226762467994
2022-12-20 00:00:00+00:00,2023-01-05 00:00:00+00:00,SHORT,161.6,65.4,142.73,62.34,0.0,7914.030971893247,3.4990405577254977,16,signal,0.0,4.885273791140577
2023-01-19 00:00:00+00:00,2023-02-22 00:00:00+00:00,LONG,168.2,67.95,225.7,78.97,0.25,20570.484478216702,8.983843124490894,34,profit_target,-0.7858124679001642,8.983843124490894
2023-03-15 00:00:00+00:00,2023-04-17 00:00:00+00:00,SHORT,243.33,89.96,271.55,89.8,0.25,-13913.94896298529,-5.887637983991823,33,stop_loss,-5.887637983991823,1.54316245925051
